No,date, house age,Sq feets,distand to public domin,number of registrations done,latitude,longitude,Y house price of unit area,totsl cost
83,2022.08.22,13.2,5077,150.9347,7,24.96725,121.54252,48.1,1.03E+13
84,2022.08.23,25.3,5078,2707.392,3,24.96056,121.50831,17.7,5.60E+13
85,2022.08.24,15.1,5079,383.2805,7,24.96735,121.54464,43.7,2.73E+13
86,2022.08.25,0,5080,338.9679,9,24.96853,121.54413,50.8,0
87,2022.08.26,1.8,5081,1455.798,1,24.9512,121.549,27,1.09E+12
88,2022.08.27,16.9,5082,4066.587,0,24.94297,121.50342,18.3,0
89,2022.08.28,8.9,5083,1406.43,0,24.98573,121.52758,48,0
90,2022.08.29,23,5084,3947.945,0,24.94783,121.50243,25.3,0
91,2022.08.30,0,5085,274.0144,1,24.9748,121.53059,45.4,0
92,2022.09.01,9.1,5086,1402.016,0,24.98569,121.5276,43.2,0
93,2022.09.02,20.6,5087,2469.645,4,24.96108,121.51046,21.8,6.84E+13
94,2022.09.03,31.9,5088,1146.329,0,24.9492,121.53076,16.1,0
95,2022.09.04,40.9,5089,167.5989,5,24.9663,121.54026,41,2.17E+13
96,2022.09.05,8,5090,104.8101,5,24.96674,121.54067,51.8,3.35E+12
97,2022.09.06,6.4,5091,90.45606,9,24.97433,121.5431,59.5,4.79E+12
98,2022.09.07,28.4,5092,617.4424,3,24.97746,121.53299,34.6,2.81E+13
99,2022.09.08,16.4,5093,289.3248,5,24.98203,121.54348,51,1.87E+13
100,2022.09.09,6.4,5094,90.45606,9,24.97433,121.5431,62.2,5.01E+12
101,2022.09.10,17.5,5095,964.7496,4,24.98872,121.53411,38.2,3.99E+13
102,2022.09.11,12.7,5096,170.1289,1,24.97371,121.52984,32.9,1.10E+12
103,2022.09.12,1.1,5097,193.5845,6,24.96571,121.54089,54.4,1.07E+12
104,2022.09.13,0,5098,208.3905,6,24.95618,121.53844,45.7,0
105,2022.09.14,32.7,5099,392.4459,6,24.96398,121.5425,30.5,3.63E+13
106,2022.09.15,0,5100,292.9978,6,24.97744,121.54458,71,0
107,2022.09.16,17.2,5101,189.5181,8,24.97707,121.54308,47.1,1.90E+13
108,2022.09.17,12.2,5102,1360.139,1,24.95204,121.54842,26.6,6.83E+12
109,2022.09.18,31.4,5103,592.5006,2,24.9726,121.53561,34.1,1.97E+13
110,2022.09.19,4,5104,2147.376,3,24.96299,121.51284,28.4,1.13E+13
111,2022.09.20,8.1,5105,104.8101,5,24.96674,121.54067,51.6,3.39E+12
112,2022.09.21,33.3,5106,196.6172,7,24.97701,121.54224,39.4,2.80E+13
113,2022.09.22,9.9,5107,2102.427,3,24.96044,121.51462,23.1,2.23E+13
114,2022.09.23,14.8,5108,393.2606,6,24.96172,121.53812,7.6,4.11E+12
115,2022.09.24,30.6,5109,143.8383,8,24.98155,121.54142,53.3,2.91E+13
116,2022.09.25,20.6,5110,737.9161,2,24.98092,121.54739,46.4,2.19E+13
117,2022.09.26,30.9,5111,6396.283,1,24.94375,121.47883,12.2,3.73E+13
118,2022.09.27,13.6,5112,4197.349,0,24.93885,121.50383,13,0
119,2022.09.28,25.3,5113,1583.722,3,24.96622,121.51709,30.6,5.71E+13
120,2022.09.29,16.6,5114,289.3248,5,24.98203,121.54348,59.6,2.22E+13
121,2022.09.30,13.3,5115,492.2313,5,24.96515,121.53737,31.3,1.59E+13
122,2022.09.31,13.6,5116,492.2313,5,24.96515,121.53737,48,2.49E+13
123,2022.10.01,31.5,5117,414.9476,4,24.98199,121.54464,32.5,2.64E+13
124,2022.10.02,0,5118,185.4296,0,24.9711,121.5317,45.5,0
125,2022.10.03,9.9,5119,279.1726,7,24.97528,121.54541,57.4,1.73E+13
126,2022.10.04,1.1,5120,193.5845,6,24.96571,121.54089,48.6,9.65E+11
127,2022.10.05,38.6,5121,804.6897,4,24.97838,121.53477,62.9,1.21E+14
128,2022.10.06,3.8,5122,383.8624,5,24.98085,121.54391,55,6.24E+12
129,2022.10.07,41.3,5123,124.9912,6,24.96674,121.54039,60.7,2.92E+13
130,2022.10.08,38.5,5124,216.8329,7,24.98086,121.54162,41,3.73E+13
131,2022.10.09,29.6,5125,535.527,8,24.98092,121.53653,37.5,7.40E+13
132,2022.10.10,4,5126,2147.376,3,24.96299,121.51284,30.7,1.23E+13
133,2022.10.11,26.6,5127,482.7581,5,24.97433,121.53863,37.5,3.75E+13
134,2022.10.12,18,5128,373.3937,8,24.9866,121.54082,39.5,3.31E+13
135,2022.10.13,33.4,5129,186.9686,6,24.96604,121.54211,42.2,2.46E+13
136,2022.10.14,18.9,5130,1009.235,0,24.96357,121.54951,20.8,0
137,2022.10.15,11.4,5131,390.5684,5,24.97937,121.54245,46.8,1.62E+13
138,2022.10.16,13.6,5132,319.0708,6,24.96495,121.54277,47.4,1.92E+13
139,2022.10.17,10,5133,942.4664,0,24.97843,121.52406,43.5,0
140,2022.10.18,12.9,5134,492.2313,5,24.96515,121.53737,42.5,2.10E+13
141,2022.10.19,16.2,5135,289.3248,5,24.98203,121.54348,51.4,1.88E+13
142,2022.10.20,5.1,5136,1559.827,3,24.97213,121.51627,28.9,1.07E+13
143,2022.10.21,19.8,5137,640.6071,5,24.97017,121.54647,37.5,3.71E+13
144,2022.10.22,13.6,5138,492.2313,5,24.96515,121.53737,40.1,2.09E+13
145,2022.10.23,11.9,5139,1360.139,1,24.95204,121.54842,28.4,7.16E+12
146,2022.10.24,2.1,5140,451.2438,5,24.97563,121.54694,45.5,3.36E+12
147,2022.10.25,0,5141,185.4296,0,24.9711,121.5317,52.2,0
148,2022.10.26,3.2,5142,489.8821,8,24.97017,121.54494,43.2,8.45E+12
149,2022.10.27,16.4,5143,3780.59,0,24.93293,121.51203,45.1,0
150,2022.10.28,34.9,5144,179.4538,8,24.97349,121.54245,39.7,3.11E+13
151,2022.10.29,35.8,5145,170.7311,7,24.96719,121.54269,48.5,3.24E+13
152,2022.10.30,4.9,5146,387.7721,9,24.98118,121.53788,44.7,1.19E+13
153,2022.10.31,12,5147,1360.139,1,24.95204,121.54842,28.9,7.36E+12
154,2022.11.01,6.5,5148,376.1709,6,24.95418,121.53713,40.9,9.37E+12
155,2022.11.02,16.9,5149,4066.587,0,24.94297,121.50342,20.7,0
156,2022.11.03,13.8,5150,4082.015,0,24.94155,121.50381,15.6,0
157,2022.11.04,30.7,5151,1264.73,0,24.94883,121.52954,18.3,0
158,2022.11.05,16.1,5152,815.9314,4,24.97886,121.53464,35.6,2.93E+13
159,2022.11.06,11.6,5153,390.5684,5,24.97937,121.54245,39.4,1.40E+13
160,2022.11.07,15.5,5154,815.9314,4,24.97886,121.53464,37.4,2.96E+13
161,2022.11.08,3.5,5155,49.66105,8,24.95836,121.53756,57.8,1.26E+12
162,2022.11.09,19.2,5156,616.4004,3,24.97723,121.53767,39.6,2.20E+13
163,2022.11.10,16,5157,4066.587,0,24.94297,121.50342,11.6,0
164,2022.11.11,8.5,5158,104.8101,5,24.96674,121.54067,55.5,3.87E+12
165,2022.11.12,0,5159,185.4296,0,24.9711,121.5317,55.2,0
166,2022.11.13,13.7,5160,1236.564,1,24.97694,121.55391,30.6,8.12E+12
167,2022.11.14,0,5161,292.9978,6,24.97744,121.54458,73.6,0
168,2022.11.15,28.2,5162,330.0854,8,24.97408,121.54011,43.4,5.06E+13
169,2022.11.16,27.6,5163,515.1122,5,24.96299,121.5432,37.4,4.16E+13
170,2022.11.17,8.4,5164,1962.628,1,24.95468,121.55481,23.5,6.07E+12
171,2022.11.18,24,5165,4527.687,0,24.94741,121.49628,14.4,0
172,2022.11.19,3.6,5166,383.8624,5,24.98085,121.54391,58.8,6.37E+12
173,2022.11.20,6.6,5167,90.45606,9,24.97433,121.5431,58.1,4.90E+12
174,2022.11.21,41.3,5168,401.8807,4,24.98326,121.5446,35.1,3.66E+13
175,2022.11.22,4.3,5169,432.0385,7,24.9805,121.53778,45.2,9.22E+12
176,2022.11.23,30.2,5170,472.1745,3,24.97005,121.53758,36.5,2.45E+13
177,2022.11.24,13.9,5171,4573.779,0,24.94867,121.49507,19.2,0
178,2022.11.25,33,5172,181.0766,9,24.97697,121.54262,42,3.55E+13
179,2022.11.26,13.1,5173,1144.436,4,24.99176,121.53456,36.7,3.46E+13
180,2022.11.27,14,5174,438.8513,1,24.97493,121.5273,42.6,4.11E+12
181,2022.11.28,26.9,5175,4449.27,0,24.94898,121.49621,15.5,0
182,2022.11.29,11.6,5176,201.8939,8,24.98489,121.54121,55.9,1.65E+13
183,2022.11.30,13.5,5177,2147.376,3,24.96299,121.51284,23.6,3.22E+13
184,2022.11.31,17,5178,4082.015,0,24.94155,121.50381,18.8,0
185,2022.12.01,14.1,5179,2615.465,0,24.95495,121.56174,21.8,0
186,2022.12.02,31.4,5180,1447.286,3,24.97285,121.5173,21.5,4.61E+13
187,2022.12.03,20.9,5181,2185.128,3,24.96322,121.51237,25.7,5.53E+13
188,2022.12.04,8.9,5182,3078.176,0,24.95464,121.56627,22,0
189,2022.12.05,34.8,5183,190.0392,8,24.97707,121.54312,44.3,3.69E+13
190,2022.12.06,16.3,5184,4066.587,0,24.94297,121.50342,20.5,0
191,2022.12.07,35.3,5185,616.5735,8,24.97945,121.53642,42.3,1.16E+14
192,2022.12.08,13.2,5186,750.0704,2,24.97371,121.54951,37.8,1.18E+13
193,2022.12.09,43.8,5187,57.58945,7,24.9675,121.54069,42.7,1.19E+13
194,2022.12.10,9.7,5188,421.479,5,24.98246,121.54477,49.3,1.59E+13
195,2022.12.11,15.2,5189,3771.895,0,24.93363,121.51158,29.3,0
196,2022.12.12,15.2,5190,461.1016,5,24.95425,121.5399,34.6,1.91E+13
197,2022.12.13,22.8,5191,707.9067,2,24.981,121.54713,36.6,1.86E+13
198,2022.12.14,34.4,5192,126.7286,8,24.96881,121.54089,48.2,2.65E+13
199,2022.12.15,34,5193,157.6052,7,24.96628,121.54196,39.1,2.31E+13
200,2022.12.16,18.2,5194,451.6419,8,24.96945,121.5449,31.6,3.28E+13
201,2022.12.17,17.4,5195,995.7554,0,24.96305,121.54915,25.5,0
202,2022.12.18,13.1,5196,561.9845,5,24.98746,121.54391,45.9,2.67E+13
203,2022.12.19,38.3,5197,642.6985,3,24.97559,121.53713,31.5,3.67E+13
204,2022.12.20,15.6,5198,289.3248,5,24.98203,121.54348,46.1,1.64E+13
205,2022.12.21,18,5199,1414.837,1,24.95182,121.54887,26.6,1.07E+13
206,2022.12.22,12.8,5200,1449.722,3,24.97289,121.51728,21.4,1.88E+13
207,2022.12.23,22.2,5201,379.5575,10,24.98343,121.53762,44,5.86E+13
208,2022.12.24,38.5,5202,665.0636,3,24.97503,121.53692,34.2,4.15E+13
209,2022.12.25,11.5,5203,1360.139,1,24.95204,121.54842,26.2,6.47E+12
210,2022.12.26,34.8,5204,175.6294,8,24.97347,121.54271,40.9,3.16E+13
211,2022.12.27,5.2,5205,390.5684,5,24.97937,121.54245,52.2,8.38E+12
212,2022.12.28,0,5206,274.0144,1,24.9748,121.53059,43.5,0
213,2022.12.29,17.6,5207,1805.665,2,24.98672,121.52091,31.1,3.13E+13
214,2022.12.30,6.2,5208,90.45606,9,24.97433,121.5431,58,4.63E+12
215,2022.12.31,18.1,5209,1783.18,3,24.96731,121.51486,20.9,3.20E+13
216,2022.01.02,19.2,5210,383.7129,8,24.972,121.54477,48.1,4.48E+13
217,2022.01.03,37.8,5211,590.9292,1,24.97153,121.53559,39.7,1.40E+13
218,2022.01.04,28,5212,372.6242,6,24.97838,121.54119,40.8,4.04E+13
219,2022.01.05,13.6,5213,492.2313,5,24.96515,121.53737,43.8,2.32E+13
220,2022.01.06,29.3,5214,529.7771,8,24.98102,121.53655,40.2,7.90E+13
221,2022.01.07,37.2,5215,186.5101,9,24.97703,121.54265,78.3,7.74E+13
222,2022.01.08,9,5216,1402.016,0,24.98569,121.5276,38.5,0
223,2022.01.09,30.6,5217,431.1114,10,24.98123,121.53743,48.5,1.01E+14
224,2022.01.10,9.1,5218,1402.016,0,24.98569,121.5276,42.3,0
225,2022.01.11,34.5,5219,324.9419,6,24.97814,121.5417,46,4.90E+13
226,2022.01.12,1.1,5220,193.5845,6,24.96571,121.54089,49,9.92E+11
227,2022.01.13,16.5,5221,4082.015,0,24.94155,121.50381,12.8,0
228,2022.01.14,32.4,5222,265.0609,8,24.98059,121.53986,40.2,4.38E+13
229,2022.01.15,11.9,5223,3171.329,0,25.00115,121.51776,46.6,0
230,2022.01.16,31,5224,1156.412,0,24.9489,121.53095,19,0
231,2022.01.17,4,5225,2147.376,3,24.96299,121.51284,33.4,1.36E+13
232,2022.01.18,16.2,5226,4074.736,0,24.94235,121.50357,14.7,0
233,2022.01.19,27.1,5227,4412.765,1,24.95032,121.49587,17.4,3.30E+13
234,2022.01.20,39.7,5228,333.3679,9,24.98016,121.53932,32.4,6.13E+13
235,2022.01.21,8,5229,2216.612,4,24.96007,121.51361,23.9,2.69E+13
236,2022.01.22,12.9,5230,250.631,7,24.96606,121.54297,39.3,1.41E+13
237,2022.01.23,3.6,5231,373.8389,10,24.98322,121.53765,61.9,1.32E+13
238,2022.01.24,13,5232,732.8528,0,24.97668,121.52518,39,0
239,2022.01.25,12.8,5233,732.8528,0,24.97668,121.52518,40.6,0
240,2022.01.26,18.1,5234,837.7233,0,24.96334,121.54767,29.7,0
241,2022.01.27,11,5235,1712.632,2,24.96412,121.5167,28.8,1.72E+13
242,2022.01.28,13.7,5236,250.631,7,24.96606,121.54297,41.4,1.58E+13
243,2022.01.29,2,5237,2077.39,3,24.96357,121.51329,33.4,6.61E+12
244,2022.01.30,32.8,5238,204.1705,8,24.98236,121.53923,48.2,4.11E+13
245,2022.01.31,4.8,5239,1559.827,3,24.97213,121.51627,21.7,7.75E+12
246,2022.02.01,7.5,5240,639.6198,5,24.97258,121.54814,40.8,1.56E+13
247,2022.02.02,16.4,5241,389.8219,6,24.96412,121.54273,40.6,2.48E+13
248,2022.02.03,21.7,5242,1055.067,0,24.96211,121.54928,23.1,0
249,2022.02.04,19,5243,1009.235,0,24.96357,121.54951,22.3,0
250,2022.02.05,18,5244,6306.153,1,24.95743,121.47516,15,2.71E+13
251,2022.02.06,39.2,5245,424.7132,7,24.97429,121.53917,30,5.57E+13
252,2022.02.07,31.7,5246,1159.454,0,24.9496,121.53018,13.8,0
253,2022.02.08,5.9,5247,90.45606,9,24.97433,121.5431,52.7,4.03E+12
254,2022.02.09,30.4,5248,1735.595,2,24.96464,121.51623,25.9,4.35E+13
255,2022.02.10,1.1,5249,329.9747,5,24.98254,121.54395,51.8,1.50E+12
256,2022.02.11,31.5,5250,5512.038,1,24.95095,121.48458,17.4,4.81E+13
257,2022.02.12,14.6,5251,339.2289,1,24.97519,121.53151,26.5,2.09E+12
258,2022.02.13,17.3,5252,444.1334,1,24.97501,121.5273,43.9,5.38E+12
259,2022.02.14,0,5253,292.9978,6,24.97744,121.54458,63.3,0
260,2022.02.15,17.7,5254,837.7233,0,24.96334,121.54767,28.8,0
261,2022.02.16,17,5255,1485.097,4,24.97073,121.517,30.7,4.94E+13
262,2022.02.17,16.2,5256,2288.011,3,24.95885,121.51359,24.4,4.33E+13
263,2022.02.18,15.9,5257,289.3248,5,24.98203,121.54348,53,1.95E+13
264,2022.02.19,3.9,5258,2147.376,3,24.96299,121.51284,31.7,1.27E+13
265,2022.02.20,32.6,5259,493.657,7,24.96968,121.54522,40.6,7.30E+13
266,2022.02.21,15.7,5260,815.9314,4,24.97886,121.53464,38.1,3.12E+13
267,2022.02.22,17.8,5261,1783.18,3,24.96731,121.51486,23.7,3.60E+13
268,2022.02.23,34.7,5262,482.7581,5,24.97433,121.53863,41.1,5.50E+13
269,2022.02.24,17.2,5263,390.5684,5,24.97937,121.54245,40.1,2.15E+13
270,2022.02.25,17.6,5264,837.7233,0,24.96334,121.54767,23,0
271,2022.02.26,10.8,5265,252.5822,1,24.9746,121.53046,117.5,5.12E+12
272,2022.02.27,17.7,5266,451.6419,8,24.96945,121.5449,26.5,2.71E+13
273,2022.02.28,13,5267,492.2313,5,24.96515,121.53737,40.5,2.07E+13
274,2023.03.01,13.2,5268,170.1289,1,24.97371,121.52984,29.3,1.05E+12
275,2023.03.02,27.5,5269,394.0173,7,24.97305,121.53994,41,4.97E+13
276,2023.03.03,1.5,5270,23.38284,7,24.96772,121.54102,49.7,1.95E+11
277,2023.03.04,19.1,5271,461.1016,5,24.95425,121.5399,34,2.39E+13
278,2023.03.05,21.2,5272,2185.128,3,24.96322,121.51237,27.7,6.16E+13
279,2023.03.06,0,5273,208.3905,6,24.95618,121.53844,44,0
280,2023.03.07,2.6,5274,1554.25,3,24.97026,121.51642,31.1,6.03E+12
281,2023.03.08,2.3,5275,184.3302,6,24.96581,121.54086,45.4,1.85E+12
282,2023.03.09,4.7,5276,387.7721,9,24.98118,121.53788,44.8,1.18E+13
283,2023.03.10,2,5277,1455.798,1,24.9512,121.549,25.6,1.19E+12
284,2023.03.11,33.5,5278,1978.671,2,24.98674,121.51844,23.5,4.99E+13
285,2023.03.12,15,5279,383.2805,7,24.96735,121.54464,34.4,2.22E+13
286,2023.03.13,30.1,5280,718.2937,3,24.97509,121.53644,55.3,5.75E+13
287,2023.03.14,5.9,5281,90.45606,9,24.97433,121.5431,56.3,4.33E+12
288,2023.03.15,19.2,5282,461.1016,5,24.95425,121.5399,32.9,2.33E+13
289,2023.03.16,16.6,5283,323.6912,6,24.97841,121.5428,51,2.64E+13
290,2023.03.17,13.9,5284,289.3248,5,24.98203,121.54348,44.5,1.44E+13
291,2023.03.18,37.7,5285,490.3446,0,24.97217,121.53471,37,0
292,2023.03.19,3.4,5286,56.47425,7,24.95744,121.53711,54.4,1.17E+12
293,2023.03.20,17.5,5287,395.6747,5,24.95674,121.534,24.5,1.36E+13
294,2023.03.21,12.6,5288,383.2805,7,24.96735,121.54464,42.5,2.31E+13
295,2023.03.22,26.4,5289,335.5273,6,24.9796,121.5414,38.1,3.25E+13
296,2023.03.23,18.2,5290,2179.59,3,24.96299,121.51252,21.8,4.16E+13
297,2023.03.24,12.5,5291,1144.436,4,24.99176,121.53456,34.1,3.14E+13
298,2023.03.25,34.9,5292,567.0349,4,24.97003,121.5458,28.5,3.62E+13
299,2023.03.26,16.7,5293,4082.015,0,24.94155,121.50381,16.7,0
300,2023.03.27,33.2,5294,121.7262,10,24.98178,121.54059,46.1,2.99E+13
301,2023.03.28,2.5,5295,156.2442,4,24.96696,121.53992,36.9,9.26E+11
302,2023.03.29,38,5296,461.7848,0,24.97229,121.53445,35.7,0
303,2023.03.30,16.5,5297,2288.011,3,24.95885,121.51359,23.2,4.22E+13
304,2023.03.31,38.3,5298,439.7105,0,24.97161,121.53423,38.4,0
305,2023.04.01,20,5299,1626.083,3,24.96622,121.51668,29.4,4.61E+13
306,2023.04.02,16.2,5300,289.3248,5,24.98203,121.54348,55,2.07E+13
307,2023.04.03,14.4,5301,169.9803,1,24.97369,121.52979,50.2,1.98E+12
308,2023.04.04,10.3,5302,3079.89,0,24.9546,121.56627,24.7,0
309,2023.04.05,16.4,5303,289.3248,5,24.98203,121.54348,53,2.02E+13
310,2023.04.06,30.3,5304,1264.73,0,24.94883,121.52954,19.1,0
311,2023.04.07,16.4,5305,1643.499,2,24.95394,121.55174,24.7,2.14E+13
312,2023.04.08,21.3,5306,537.7971,4,24.97425,121.53814,42.2,3.11E+13
313,2023.04.09,35.4,5307,318.5292,9,24.97071,121.54069,78,1.27E+14
314,2023.04.10,8.3,5308,104.8101,5,24.96674,121.54067,42.8,3.00E+12
315,2023.04.11,3.7,5309,577.9615,6,24.97201,121.54722,41.6,8.60E+12
316,2023.04.12,15.6,5310,1756.411,2,24.9832,121.51812,27.3,2.41E+13
317,2023.04.13,13.3,5311,250.631,7,24.96606,121.54297,42,1.58E+13
318,2023.04.14,15.6,5312,752.7669,2,24.97795,121.53451,37.5,1.42E+13
319,2023.04.15,7.1,5313,379.5575,10,24.98343,121.53762,49.8,2.17E+13
320,2023.04.16,34.6,5314,272.6783,5,24.95562,121.53872,26.9,2.05E+13
321,2023.04.17,13.5,5315,4197.349,0,24.93885,121.50383,18.6,0
322,2023.04.18,16.9,5316,964.7496,4,24.98872,121.53411,37.7,3.97E+13
323,2023.04.19,12.9,5317,187.4823,1,24.97388,121.52981,33.1,1.29E+12
324,2023.04.20,28.6,5318,197.1338,6,24.97631,121.54436,42.5,2.32E+13
325,2023.04.21,12.4,5319,1712.632,2,24.96412,121.5167,31.3,2.15E+13
326,2023.04.22,36.6,5320,488.8193,8,24.97015,121.54494,38.1,8.80E+13
327,2023.04.23,4.1,5321,56.47425,7,24.95744,121.53711,62.1,1.62E+12
